# 847 Layer-(c) §5 reference-repair worklist — GET re-probe of the 134 HEAD-dead refs.
# MEASURE not verdict. INPUT for ai-01 synthesis update. GATED jsboige ratification. 0 prod CSV.
# get_class in {alive, redirect-3xx, dead, unknown}. Reproducible from 847-layerc-reference-reachability-refs.csv (dead bucket).
pk,lang,host,url,family,subfamily,subsub,get_code,get_class,final_url
120,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_the_minority,Insuffisance,Préjugé,Sophisme moraliste,503,dead,https://rationalwiki.org/wiki/Appeal_to_the_minority
125,en,rationalwiki.org,http://rationalwiki.org/wiki/Argument_from_design,Insuffisance,Préjugé,Sophisme moraliste,503,dead,https://rationalwiki.org/wiki/Argument_from_design
126,en,rationalwiki.org,http://rationalwiki.org/wiki/Argument_from_beauty,Insuffisance,Préjugé,Sophisme moraliste,503,dead,https://rationalwiki.org/wiki/Argument_from_beauty
127,en,rationalwiki.org,https://rationalwiki.org/wiki/Appeal_to_money,Insuffisance,Préjugé,Sophisme moraliste,503,dead,https://rationalwiki.org/wiki/Appeal_to_money
140,en,rationalwiki.org,http://rationalwiki.org/wiki/Intuition_pump,Insuffisance,Surinterprétation,Sophisme ludique,503,dead,https://rationalwiki.org/wiki/Intuition_pump
155,en,rationalwiki.org,http://rationalwiki.org/wiki/Substituting_explanation_for_premise,Insuffisance,Surinterprétation,Argument des mauvaises raisons,503,dead,https://rationalwiki.org/wiki/Substituting_explanation_for_premise
161,fr,mgtow-france.fr,https://mgtow-france.fr/2020/01/sophismes-kafkaiens-les-armes-rhetoriques-de-la-victimisation/,Insuffisance,Surinterprétation,Argument des mauvaises raisons,404,dead,https://mgtow-france.fr/2020/01/sophismes-kafkaiens-les-armes-rhetoriques-de-la-victimisation/
163,en,rationalwiki.org,http://rationalwiki.org/wiki/Ad_iram,Insuffisance,Surinterprétation,Argument des mauvaises raisons,503,dead,https://rationalwiki.org/wiki/Ad_iram
166,en,rationalwiki.org,http://rationalwiki.org/wiki/Hanlon%27s_razor,Insuffisance,Surinterprétation,Manque de parcimonie,503,dead,https://rationalwiki.org/wiki/Hanlon%27s_razor
174,en,rationalwiki.org,https://rationalwiki.org/wiki/Clustering_illusion,Insuffisance,Surinterprétation,Manque de parcimonie,503,dead,https://rationalwiki.org/wiki/Clustering_illusion
194,en,rationalwiki.org,"http://rationalwiki.org/wiki/Quidquid_latine_dictum_sit,_altum_videtur",Influence,Procédé rhétorique,Langage persuasif,503,dead,"https://rationalwiki.org/wiki/Quidquid_latine_dictum_sit,_altum_videtur"
198,en,rationalwiki.org,http://rationalwiki.org/wiki/Technobabble,Influence,Procédé rhétorique,Langage persuasif,503,dead,https://rationalwiki.org/wiki/Technobabble
211,en,rationalwiki.org,http://rationalwiki.org/wiki/Linking_to_authority,Influence,Procédé rhétorique,Langage persuasif,503,dead,https://rationalwiki.org/wiki/Linking_to_authority
214,en,rationalwiki.org,http://rationalwiki.org/wiki/Race_card,Influence,Procédé rhétorique,Langage persuasif,503,dead,https://rationalwiki.org/wiki/Race_card
268,fr,cosmovisions.com,http://www.cosmovisions.com/adjonction.htm,Influence,Procédé rhétorique,Poésie,404,dead,https://cosmovisions.com/https://www.cosmovisions.com/adjonction.htm
301,en,rationalwiki.org,http://rationalwiki.org/wiki/Appeal_to_confidence,Influence,Appel à l'émotion,Connivence,503,dead,https://rationalwiki.org/wiki/Appeal_to_confidence
307,en,rationalwiki.org,http://rationalwiki.org/wiki/Deepity,Influence,Appel à l'émotion,Connivence,503,dead,https://rationalwiki.org/wiki/Deepity
