# 847 Layer-(c) reference-reachability — per-reference. MEASURE not verdict. INPUT for ai-01 synthesis. GATED jsboige ratification. 0 prod CSV.
"# bucket in {wikipedia-stable, archive-repointed, dictionary-known, alive, dead, unknown, unparseable}. WMF/archive/dictionary = deterministic allowlist; long-tail = read-only HEAD probe."
pk,lang,host,url,bucket
36,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/106/Hypothesis-Contrary-to-Fact,dictionary-known
37,en,rationalwiki.org,http://rationalwiki.org/wiki/Pragmatic_fallacy,dead
38,en,rationalwiki.org,http://rationalwiki.org/wiki/Stopped_clock,dead
39,en,en.wikipedia.org,https://en.wikipedia.org/wiki/The_squeaky_wheel_gets_the_grease*,wikipedia-stable
40,fr,rationalwiki.org,http://rationalwiki.org/wiki/Argument_de_l'ami,dead
40,en,rationalwiki.org,https://rationalwiki.org/wiki/Friend_argument,dead
41,en,en.wikipedia.org,https://en.wikipedia.org/wiki/I_know_it_when_I_see_it,wikipedia-stable
42,en,rationalwiki.org,http://rationalwiki.org/wiki/Generalization_from_fictional_evidence,dead
43,fr,autopsia.fr,http://autopsia.fr/sophismes-arguments-autorite,dead
43,en,nizkor.org,http://www.nizkor.org/features/fallacies/appeal-to-common-practice.html,dictionary-known
43,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/Апелляция_к_большинству,wikipedia-stable
44,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/15/Alleged-Certainty,dictionary-known
45,en,rationalwiki.org,http://rationalwiki.org/wiki/Silent_Majority,dead
46,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/37/Appeal-to-Normality,dictionary-known
47,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/25/Appeal-to-Common-Folk,dictionary-known
48,en,skepdic.com,http://skepdic.com/communalreinforcement.html,dictionary-known
49,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Gold_effect,wikipedia-stable
50,en,don-lindsay-archive.org,http://www.don-lindsay-archive.org/skeptic/arguments.html#commonsense,archive-repointed
51,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Psychologist%27s_fallacy,wikipedia-stable
52,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Mind_projection_fallacy,wikipedia-stable
53,fr,fr.wikipedia.org,https://fr.wikipedia.org/wiki/Raisonnement_%C3%A9motionnel,wikipedia-stable
53,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Emotional_reasoning,wikipedia-stable
54,en,utminers.utep.edu,http://utminers.utep.edu/omwilliamson/ENGL1311/fallacies.htm#5,dictionary-known
55,fr,initiativerationnelle.wordpress.com,https://initiativerationnelle.wordpress.com/2016/04/16/sauvetage-ad-hoc/,alive
55,en,logicallyfallacious.com,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/8/Ad-Hoc-Rescue,dictionary-known
55,ru,ru.wikipedia.org,https://ru.wikipedia.org/wiki/Ad_hoc,wikipedia-stable
56,en,rationalwiki.org,http://rationalwiki.org/wiki/Golden_hammer,dead
57,en,rationalwiki.org,http://rationalwiki.org/wiki/Fractal_wrongness,dead
58,en,logicallyfallacious.com,https://www.logicallyfallacious.com/logicalfallacies/Confusing-Currently-Unexplained-with-Unexplainable,dictionary-known
59,en,rationalwiki.org,http://rationalwiki.org/wiki/Didit_fallacy,dead
60,en,rationalwiki.org,http://rationalwiki.org/wiki/God_of_the_gaps,dead
